solid   
f 0 1 2 depth 16.7697
f 3 1 4 depth 1.53368
f 5 6 7 depth 25.2655
f 8 6 9 depth 1.53368
f 10 11 12 depth 1.53368
f 13 11 14 depth 11.7257
f 15 16 17 depth 12.5459
f 18 16 19 depth 12.5459
f 20 21 22 depth 0.143032
f 23 20 24 depth 1.53368
f 25 26 27 depth 15.541
f 28 26 29 depth 15.541
f 30 31 32 depth 17.1608
f 33 31 34 depth 1.53368
f 35 36 37 depth 14.0632
f 38 36 39 depth 14.0632
f 40 41 42 depth 1.53368
f 43 41 44 depth 25.2655
f 45 46 47 depth 20.1668
f 46 48 47 depth 12.6484
f 49 50 51 depth 1.53368
f 52 49 53 depth 24.0293
f 54 55 56 depth 0.224762
f 57 54 58 depth 1.53368
f 59 60 61 depth 1.53368
f 62 59 63 depth 19.7157
f 64 65 66 depth 22.3608
f 64 67 65 depth 16.2587
f 68 69 70 depth 19.9625
f 68 71 69 depth 25.2655
f 72 73 74 depth 0.102164
f 75 72 76 depth 1.53368
f 77 78 79 depth 0.46996
f 80 77 81 depth 1.53368
f 82 83 84 depth 9.99812
f 82 85 83 depth 19.7018
f 86 87 88 depth 21.2549
f 87 89 88 depth 14.3502
f 90 91 92 depth 11.9307
f 93 90 94 depth 1.53368
f 95 96 97 depth 25.2655
f 98 95 99 depth 1.53368
f 100 101 102 depth 24.465
f 100 103 101 depth 25.2655
f 104 103 105 depth 4.64919
f 106 104 107 depth 1.53368
f 108 109 110 depth 16.0726
f 109 111 110 depth 16.0726
f 112 113 114 depth 18.5568
f 112 115 113 depth 10.8865
f 116 117 118 depth 10.4134
f 119 116 34 depth 1.53368
f 120 121 122 depth 0.347361
f 123 120 124 depth 1.53368
f 33 125 126 depth 17.1608
f 125 127 126 depth 17.1608
f 128 129 130 depth 4.5314
f 129 131 130 depth 13.8391
f 132 133 134 depth 1.53368
f 135 132 136 depth 5.7284
f 137 138 139 depth 16.4803
f 137 140 138 depth 8.03648
f 141 142 143 depth 0.347361
f 144 141 145 depth 1.53368
f 146 147 148 depth 4.28424
f 146 149 147 depth 1.53368
f 150 151 152 depth 13.8186
f 150 153 151 depth 1.53368
f 154 155 156 depth 16.4786
f 154 157 155 depth 7.95443
f 158 159 160 depth 15.9291
f 159 161 160 depth 15.9291
f 162 163 164 depth 1.53368
f 163 165 164 depth 0.0817313
f 166 167 168 depth 18.1435
f 166 169 167 depth 24.0291
f 170 171 172 depth 1.53368
f 171 173 172 depth 25.1429
f 174 175 22 depth 1.53368
f 175 176 22 depth 19.2094
f 177 178 179 depth 23.3176
f 180 177 181 depth 25.1633
f 182 183 184 depth 22.3608
f 182 185 183 depth 16.3202
f 186 187 188 depth 25.2655
f 189 186 190 depth 1.53368
f 191 192 193 depth 0.493777
f 191 194 192 depth 0.306494
f 195 196 197 depth 1.53368
f 195 198 196 depth 18.6565
f 199 200 201 depth 1.53368
f 199 202 200 depth 4.11553
f 203 204 205 depth 14.8028
f 203 206 204 depth 5.34394
f 207 208 209 depth 1.53368
f 207 210 208 depth 17.5098
f 211 212 213 depth 14.6988
f 211 214 212 depth 21.5743
f 90 93 91 depth 11.9307
f 93 215 91 depth 11.9307
f 216 217 218 depth 13.6341
f 219 216 220 depth 1.53368
f 221 222 223 depth 1.53368
f 221 224 222 depth 21.008
f 225 160 226 depth 22.475
f 225 158 160 depth 25.0611
f 227 228 229 depth 25.0203
f 230 227 231 depth 1.53368
f 232 233 234 depth 12.3218
f 232 235 233 depth 3.57259
f 236 237 238 depth 5.21947
f 237 239 238 depth 5.22059
f 240 241 242 depth 17.8442
f 243 240 244 depth 10.0869
f 245 246 247 depth 10.2509
f 245 248 246 depth 1.53368
f 249 250 251 depth 20.9941
f 249 252 250 depth 25.2655
f 253 254 255 depth 2.07698
f 253 256 254 depth 1.53368
f 257 258 259 depth 25.2451
f 257 260 258 depth 16.2761
f 261 262 263 depth 2.23646
f 264 261 265 depth 1.53368
f 206 266 267 depth 0.347361
f 266 268 267 depth 0.347361
f 269 270 76 depth 1.53368
